#ip,ioc
150.158.49.33,Possible Cobaltstrike C2 IP
150.158.50.177,Possible Cobaltstrike C2 IP
150.158.51.99,Possible Cobaltstrike C2 IP
150.158.53.87,Possible Cobaltstrike C2 IP
152.136.104.49,Possible Cobaltstrike C2 IP
152.136.116.44,Possible Cobaltstrike C2 IP
152.136.167.133,Possible Cobaltstrike C2 IP
152.32.135.165,Possible Cobaltstrike C2 IP
152.32.174.103,Possible Cobaltstrike C2 IP
152.89.198.175,Possible Cobaltstrike C2 IP
154.12.26.151,Possible Cobaltstrike C2 IP
154.12.84.90,Possible Cobaltstrike C2 IP
154.204.43.33,Possible Cobaltstrike C2 IP
154.204.56.105,Possible Cobaltstrike C2 IP
154.204.60.102,Possible Cobaltstrike C2 IP
154.211.18.108,Possible Cobaltstrike C2 IP
154.212.129.95,Possible Metasploit C2 IP
154.213.65.25,Possible Cobaltstrike C2 IP
154.221.17.44,Possible Cobaltstrike C2 IP
154.39.157.5,Possible Cobaltstrike C2 IP
154.90.62.118,Possible Cobaltstrike C2 IP
155.248.175.106,Possible Metasploit C2 IP
155.94.170.73,Possible Cobaltstrike C2 IP
156.225.2.119,Possible Cobaltstrike C2 IP
156.243.1.37,Possible Metasploit C2 IP
156.245.19.127,Possible Cobaltstrike C2 IP
156.247.9.31,Possible Cobaltstrike C2 IP
159.203.60.8,Possible Cobaltstrike C2 IP
159.223.29.112,Possible Cobaltstrike C2 IP
159.223.72.123,Possible Cobaltstrike C2 IP
159.65.136.204,Possible PoshC2 IP
159.65.60.36,Possible Powershell Empire C2 IP
159.89.209.22,Possible Cobaltstrike C2 IP
16.170.143.138,Possible Cobaltstrike C2 IP
161.35.168.216,Possible Cobaltstrike C2 IP
161.35.24.190,Possible Cobaltstrike C2 IP
162.14.107.218,Possible Cobaltstrike C2 IP
162.14.209.70,Possible Cobaltstrike C2 IP
162.14.73.248,Possible Cobaltstrike C2 IP
162.14.81.81,Possible Cobaltstrike C2 IP
162.14.97.126,Possible Cobaltstrike C2 IP
163.181.39.33,Possible Cobaltstrike C2 IP
163.197.199.246,Possible Cobaltstrike C2 IP
163.197.211.60,Possible Cobaltstrike C2 IP
163.197.211.75,Possible Cobaltstrike C2 IP
163.197.217.136,Possible Cobaltstrike C2 IP
165.154.113.120,Possible Cobaltstrike C2 IP
165.16.119.99,Possible Metasploit C2 IP
165.22.225.110,Possible Cobaltstrike C2 IP
165.227.141.64,Possible Cobaltstrike C2 IP
165.227.68.129,Possible Cobaltstrike C2 IP
165.232.114.60,Possible Cobaltstrike C2 IP
167.172.147.163,Possible Cobaltstrike C2 IP
167.179.74.154,Possible Cobaltstrike C2 IP
167.179.84.218,Possible Cobaltstrike C2 IP
167.86.127.180,Possible Cobaltstrike C2 IP
167.88.166.109,Possible Cobaltstrike C2 IP
169.239.129.23,Possible Metasploit C2 IP
170.130.165.100,Possible Cobaltstrike C2 IP
172.105.192.139,Possible Cobaltstrike C2 IP
172.172.32.86,Possible Cobaltstrike C2 IP
172.174.161.122,Possible Metasploit C2 IP
172.174.64.174,Possible Cobaltstrike C2 IP
172.247.35.240,Possible Cobaltstrike C2 IP
172.67.160.207,Possible Cobaltstrike C2 IP
172.93.165.117,Possible Cobaltstrike C2 IP
174.138.16.222,Possible Cobaltstrike C2 IP
175.178.14.59,Possible Cobaltstrike C2 IP
175.178.174.131,Possible Cobaltstrike C2 IP
175.178.178.178,Possible Cobaltstrike C2 IP
175.178.180.234,Possible Cobaltstrike C2 IP
175.178.242.75,Possible Cobaltstrike C2 IP
175.178.255.202,Possible Cobaltstrike C2 IP
175.178.3.16,Possible Cobaltstrike C2 IP
175.178.5.19,Possible Cobaltstrike C2 IP
175.178.99.133,Possible Cobaltstrike C2 IP
175.24.163.235,Possible Cobaltstrike C2 IP
175.24.184.174,Possible Cobaltstrike C2 IP
175.24.207.93,Possible Cobaltstrike C2 IP
175.24.235.158,Possible Cobaltstrike C2 IP
176.113.115.99,Possible Cobaltstrike C2 IP
178.128.123.154,Possible Cobaltstrike C2 IP
178.128.193.49,Possible Cobaltstrike C2 IP
179.60.150.57,Possible Cobaltstrike C2 IP
18.163.193.10,Possible Cobaltstrike C2 IP
18.181.228.196,Possible Cobaltstrike C2 IP
18.184.17.94,Possible Cobaltstrike C2 IP
18.204.15.103,Possible Cobaltstrike C2 IP
18.219.103.66,Possible Cobaltstrike C2 IP
18.221.245.196,Possible Cobaltstrike C2 IP
18.226.79.33,Possible Cobaltstrike C2 IP
180.184.194.145,Possible Cobaltstrike C2 IP
182.92.218.99,Possible Cobaltstrike C2 IP
183.165.35.133,Possible Cobaltstrike C2 IP
184.72.153.18,Possible PoshC2 IP
185.11.61.85,Possible Cobaltstrike C2 IP
185.143.223.212,Possible Cobaltstrike C2 IP
185.155.96.178,Possible Cobaltstrike C2 IP
185.163.116.210,Possible Powershell Empire C2 IP
185.172.128.97,Possible Cobaltstrike C2 IP
185.221.67.36,Possible Cobaltstrike C2 IP
185.227.82.25,Possible Metasploit C2 IP
185.234.216.64,Possible PoshC2 IP
185.3.45.6,Possible Cobaltstrike C2 IP
185.32.126.51,Possible Cobaltstrike C2 IP
185.66.91.172,Possible Metasploit C2 IP
188.116.22.65,Possible Cobaltstrike C2 IP
188.121.110.191,Possible Cobaltstrike C2 IP
188.166.78.67,Possible Cobaltstrike C2 IP
190.123.44.150,Possible Cobaltstrike C2 IP
192.144.231.110,Possible Cobaltstrike C2 IP
192.3.255.42,Possible Cobaltstrike C2 IP
193.37.69.48,Possible Cobaltstrike C2 IP
194.135.17.31,Possible Cobaltstrike C2 IP
194.165.16.58,Possible Cobaltstrike C2 IP
194.26.135.137,Possible Cobaltstrike C2 IP
194.67.208.247,Possible Metasploit C2 IP
195.133.53.144,Possible Cobaltstrike C2 IP
195.201.43.239,Possible Metasploit C2 IP
198.44.184.235,Possible Cobaltstrike C2 IP
199.195.251.219,Possible Cobaltstrike C2 IP
20.10.168.90,Possible Metasploit C2 IP
20.106.152.87,Possible Cobaltstrike C2 IP
20.120.177.99,Possible Cobaltstrike C2 IP
20.124.232.200,Possible Cobaltstrike C2 IP
20.237.12.116,Possible Cobaltstrike C2 IP
20.51.226.216,Possible Cobaltstrike C2 IP
20.64.84.1,Possible Cobaltstrike C2 IP
20.94.177.31,Possible Cobaltstrike C2 IP
20.97.19.69,Possible Cobaltstrike C2 IP
202.95.15.23,Possible Cobaltstrike C2 IP
204.10.120.109,Possible Cobaltstrike C2 IP
206.204.132.178,Possible Metasploit C2 IP
206.233.133.127,Possible Metasploit C2 IP
206.237.30.76,Possible Cobaltstrike C2 IP
211.159.173.202,Possible Cobaltstrike C2 IP
213.61.251.56,Possible Cobaltstrike C2 IP
216.120.201.106,Possible Cobaltstrike C2 IP
219.151.137.59,Possible Cobaltstrike C2 IP
221.160.250.219,Possible Cobaltstrike C2 IP
23.234.200.144,Possible Cobaltstrike C2 IP
23.251.32.24,Possible Cobaltstrike C2 IP
23.95.44.80,Possible Cobaltstrike C2 IP
23.98.137.196,Possible Cobaltstrike C2 IP
24.144.116.97,Possible Cobaltstrike C2 IP
3.131.100.38,Possible PoshC2 IP
3.135.234.20,Possible Cobaltstrike C2 IP
3.137.154.242,Possible Cobaltstrike C2 IP
3.137.214.117,Possible Cobaltstrike C2 IP
3.144.132.153,Possible Cobaltstrike C2 IP
3.145.13.69,Possible Cobaltstrike C2 IP
3.254.254.189,Possible Cobaltstrike C2 IP
3.72.68.180,Possible Cobaltstrike C2 IP
31.170.22.88,Possible Metasploit C2 IP
31.31.76.57,Possible Metasploit C2 IP
